timestamp,probe_rtt,sosd_comm_rank,queue_depth_local,queue_depth_cloud,queue_depth_db_tasks,queue_depth_db_snaps,thread_local_wakeup,thread_cloud_wakeup,thread_db_wakeup,feedback_checkin_messages,socket_messages,socket_bytes_recv,socket_bytes_sent,mpi_sends,mpi_bytes,db_transactions,db_insert_announce,db_insert_announce_nop,db_insert_publish,db_insert_publish_nop,db_insert_val_snaps,db_insert_val_snaps_nop,buffer_creates,buffer_bytes_on_heap,buffer_destroys,pipe_creates,pub_handles
1465232390.482478,0.000178,0,           0,           0,           1,       45000,6405,1144701,1028919,20,6547,147437656,180884,787,147437372,12,4,0,4,30,12,0,0,0,0,0,4
1465232390.582694,0.000150,0,           0,           0,           1,       45000,6405,1146448,1028919,20,6548,147437680,181108,787,147437372,12,4,0,4,30,12,0,0,0,0,0,4
1465232390.682867,0.000103,0,           0,          13,           1,       48500,6419,1148039,1028919,20,6563,147760096,181668,787,147437372,12,4,0,4,30,12,0,0,0,0,0,4
1465232390.783042,0.000105,0,          26,           3,           5,      104000,6644,1148064,1028919,20,6816,153541184,187940,812,152733912,13,4,0,4,34,12,0,0,0,0,0,4
1465232390.883318,0.000207,0,           0,           0,           5,      145000,6805,1148778,1028919,20,6951,156648952,191380,829,156648740,13,4,0,4,34,12,0,0,0,0,0,4
1465232390.983480,0.000100,0,           0,           0,           5,      145000,6805,1150503,1028919,24,6956,156649072,191784,829,156648740,13,4,0,4,34,12,0,0,0,0,0,4
1465232391.083699,0.000178,0,           0,           0,           0,           0,6805,1152243,1028920,24,6957,156649096,192008,829,156648740,13,4,0,4,34,13,0,0,0,0,0,4
1465232391.183933,0.000192,0,           0,           0,           0,           0,6805,1154006,1028920,24,6958,156649120,192232,829,156648740,13,4,0,4,34,13,0,0,0,0,0,4
1465232391.284200,0.000193,0,           0,           0,           0,           0,6805,1155746,1028920,24,6959,156649144,192456,829,156648740,13,4,0,4,34,13,0,0,0,0,0,4
1465232391.384530,0.000257,0,         126,           3,           1,       47842,6998,1155989,1028920,24,7280,164018128,200360,854,160817944,13,4,0,4,34,13,0,0,0,0,0,4
